Nr.,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Total Cases per 1M,Deaths per 1M,Total Tests,Test per 1M,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
40,Lebanon,"496,846","+2,213","6,661",+31,"402,172",,"88,013",833,"73,047",979,"3,694,320","543,147","6,801,692",Asia,14,"1,021",2
41,UAE,"483,747","+1,810","1,531",+2,"468,456","+1,652","13,760",,"48,459",153,"40,263,802","4,033,355","9,982,706",Asia,21,"6,520",0
42,Saudi Arabia,"398,435",+799,"6,754",+7,"383,321",+548,"8,360",915,"11,309",192,"15,797,442","448,383","35,232,061",Asia,88,"5,216",2
43,Bulgaria,"371,993",+462,"14,418",+67,"286,258",+459,"71,317",797,"53,851","2,087","2,270,329","328,664","6,907,756",Europe,19,479,3
44,Slovakia,"371,062",+589,"10,565",+78,"255,300",,"105,197",510,"67,939","1,934","2,439,970","446,742","5,461,694",Europe,15,517,2
45,Malaysia,"360,856","+1,739","1,329",+8,"343,953","+1,216","15,574",183,"11,040",41,"8,204,996","251,023","32,686,221",Asia,91,"24,595",4
46,Panama,"358,377",,"6,159",,"347,898",,"4,320",105,"82,062","1,410","2,234,081","511,565","4,367,153",North America,12,709,2
47,Ecuador,"346,817","+1,940","17,293",+18,"290,314",,"39,210",601,"19,430",969,"1,193,846","66,883","17,849,730",South America,51,"1,032",15
48,Belarus,"336,038","+1,175","2,354",+10,"326,487","+1,379","7,197",,"35,571",249,"5,553,937","587,910","9,446,911",Europe,28,"4,013",2
49,Greece,"295,480","+1,717","8,885",+52,"246,997",,"39,598",780,"28,457",856,"7,088,799","682,699","10,383,484",Europe,35,"1,169",1
50,Croatia,"292,516","+1,617","6,308",+39,"272,967","+2,003","13,241",182,"71,597","1,544","1,639,110","401,194","4,085,582",Europe,14,648,2
51,Georgia,"288,396",+707,"3,877",+8,"277,303",+592,"7,216",,"72,403",973,"3,671,403","921,717","3,983,221",Asia,14,"1,027",1
52,Azerbaijan,"285,993","+2,414","3,915",+36,"250,708","+1,695","31,370",,"28,011",383,"3,018,445","295,640","10,209,855",Asia,36,"2,608",3
53,Bolivia,"281,570",+921,"12,442",+14,"230,807",+786,"38,321",71,"23,870","1,055","982,858","83,322","11,795,936",South America,42,948,12
54,Nepal,"280,028",+303,"3,040",+1,"274,027",+141,"2,961",,"9,479",103,"2,312,901","78,296","29,540,607",Asia,105,"9,717",13
55,Tunisia,"271,861","+1,564","9,293",+58,"224,907",+510,"37,661",413,"22,818",780,"1,180,807","99,109","11,914,205",Africa,44,"1,282",10
56,Kazakhstan,"269,519","+2,842","3,221",+19,"234,057","+1,222","32,241",221,"14,222",170,"9,159,265","483,333","18,950,201",Asia,70,"5,883",2
57,Palestine,"268,132","+2,235","2,860",+22,"232,960","+1,672","32,312",185,"51,638",551,"1,636,553","315,171","5,192,582",Asia,19,"1,816",3
58,Dominican Republic,"257,186",,"3,385",,"216,020",,"37,781",154,"23,526",310,"1,343,391","122,886","10,932,007",North America,43,"3,230",8
59,Kuwait,"245,704",,"1,403",,"229,846",,"14,455",226,"56,885",325,"2,151,495","498,112","4,319,302",Asia,18,"3,079",2
60,Moldova,"241,217",+331,"5,388",+19,"222,927",+959,"12,902",307,"59,905","1,338","902,202","224,056","4,026,682",Europe,17,747,4
61,Ireland,"240,945",+302,"4,785",+2,"23,364",,"212,796",53,"48,379",961,"4,168,990","837,078","4,980,407",Europe,21,"1,041",1
62,Denmark,"237,792",+691,"2,441",+2,"226,630",+662,"8,721",38,"40,942",420,"29,118,371","5,013,485","5,808,010",Europe,24,"2,379",0
63,Paraguay,"233,745",,"4,749",,"191,614",,"37,382",444,"32,464",660,"969,044","134,586","7,200,208",South America,31,"1,516",7
64,Ethiopia,"228,996","+1,741","3,174",+28,"170,633","+1,595","55,189",971,"1,955",27,"2,445,578","20,875","117,151,321",Africa,512,"36,910",48
65,Slovenia,"226,499",+548,"4,119",+7,"208,561",+634,"13,819",139,"108,938","1,981","1,103,860","530,916","2,079,160",Europe,9,505,2
66,Lithuania,"226,173",+839,"3,687",+12,"205,897",+129,"16,589",150,"83,995","1,369","2,490,755","925,009","2,692,682",Europe,12,730,1
67,Costa Rica,"222,544",,"3,018",,"194,760",,"24,766",199,"43,380",588,"842,015","164,133","5,130,092",North America,23,"1,700",6
68,Egypt,"209,677",,"12,405",,"159,054",,"38,218",90,"2,020",119,"2,507,491","24,152","103,821,060",Africa,495,"8,369",41
69,Guatemala,"203,071",+431,"7,016",+15,"185,549",+791,"10,506",5,"11,176",386,"1,107,251","60,935","18,170,870",North America,89,"2,590",16
70,Armenia,"202,817",+650,"3,735",+15,"181,963",+783,"17,119",,"68,345","1,259","902,716","304,197","2,967,538",Asia,15,795,3
71,Honduras,"195,525",+977,"4,770",+4,"75,553",+320,"115,202",526,"19,502",476,"539,992","53,859","10,026,095",North America,51,"2,102",19
72,Qatar,"190,025",+961,333,+2,"169,635",+549,"20,057",461,"67,677",119,"1,802,462","641,947","2,807,805",Asia,15,"8,432",2
73,Bosnia and Herzegovina,"181,927",,"7,298",,"139,419",,"35,210",,"55,721","2,235","835,478","255,893","3,264,951",Europe,18,447,4
74,Venezuela,"173,786",,"1,759",,"156,472",,"15,555",237,"6,125",62,"3,359,014","118,386","28,373,362",South America,163,"16,130",8
75,Oman,"171,549","+3,544","1,776",+29,"152,784","+2,815","16,989",229,"32,950",341,"1,550,000","297,712","5,206,374",Asia,30,"2,932",3
76,Libya,"167,825",+937,"2,823",+16,"152,921",+593,"12,081",,"24,170",407,"910,823","131,178","6,943,421",Africa,41,"2,460",8
77,Nigeria,"163,736",,"2,060",,"154,098",,"7,578",11,779,10,"1,803,177","8,584","210,064,730",Africa,"1,283","101,973",116
78,Bahrain,"156,462","+1,060",557,+3,"144,917","+1,028","10,988",85,"89,570",319,"3,779,766","2,163,808","1,746,812",Asia,11,"3,136",0
79,Kenya,"145,184",,"2,330",,"98,605",,"44,249",247,"2,655",43,"1,557,704","28,486","54,682,340",Africa,377,"23,469",35
80,Myanmar,"142,576",+4,"3,206",,"131,853",+7,"7,517",,"2,607",59,"2,553,078","46,681","54,692,144",Asia,384,"17,059",21
81,North Macedonia,"141,844",+687,"4,228",+46,"116,780","+1,347","20,836",124,"68,086","2,029","669,141","321,192","2,083,308",Europe,15,493,3
82,Uruguay,"141,380",,"1,414",,"104,434",,"35,532",471,"40,591",406,"1,519,522","436,261","3,483,060",South America,25,"2,463",2
83,Albania,"128,393",+238,"2,317",+7,"97,723",+517,"28,353",18,"44,653",806,"585,329","203,567","2,875,358",Europe,22,"1,241",5
84,Algeria,"118,378",,"3,126",,"82,493",,"32,759",19,"2,663",70,"230,861","5,192","44,461,158",Africa,376,"14,223",193
85,Estonia,"114,174",+438,"1,028",+8,"94,807",+601,"18,339",72,"86,024",775,"1,195,859","901,021","1,327,227",Europe,12,"1,291",1
86,S. Korea,"109,559",+614,"1,768",+3,"100,109",+808,"7,682",105,"2,136",34,"8,129,532","158,460","51,303,412",Asia,468,"29,018",6
87,Latvia,"107,608",+368,"1,986",,"99,162",,"6,460",94,"57,546","1,062","2,026,131","1,083,517","1,869,958",Europe,17,942,1
88,Norway,"103,456",+256,684,,"88,952",,"13,820",57,"18,969",125,"4,824,081","884,497","5,454,040",Europe,53,"7,974",1
